park_name,park_long,park_lat,park_state
Abraham Lincoln Birthplace National Historical Park,85.67330523,37.5858662,KY
Acadia National Park,68.30063316,44.30777545,ME
Adams National Historical Park,71.01160356,42.2553961,MA
African American Civil War Memorial,77.025977,38.916554,DC
African Burial Ground National Monument,74.00447358,40.71452681,NY
Agate Fossil Beds National Monument,103.753886,42.42170419,NE
Alagnak Wild River,156.112002,59.05180188,AK
Alcatraz Island,122.4230206,37.82676234,CA
Aleutian World War II National Historic Area,166.5197218,53.9143076,AK
Alibates Flint Quarries National Monument,101.6717008,35.5819662,TX
Allegheny Portage Railroad National Historic Site,78.57431622,40.42977467,PA
American Memorial Park,145.7231096,15.21680033,MP
Amistad National Recreation Area,101.075821,29.53539777,TX
Anacostia Park,76.96314236,38.89644397,DC
Andersonville National Historic Site,84.12988898,32.19831758,GA
Andrew Johnson National Historic Site,82.83709021,36.15624509,TN
Aniakchak National Monument & Preserve,157.5544362,56.85317675,AK
Antietam National Battlefield,77.73828017,39.46763452,MD
Apostle Islands National Lakeshore,90.66045665,46.96240467,WI
Appalachian National Scenic Trail,76.4337548,40.41029575,CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV
Appomattox Court House National Historical Park,78.79856982,37.38022164,VA
Arabia Mountain National Heritage Area,84.1584930419922,33.6085739135742,GA
Arches National Park,109.5863666,38.72261844,UT
Arkansas Post National Memorial,91.30837178,34.00389998,AR
Arlington House The Robert  E. Lee Memorial,77.0734786987305,38.8822021484375,VA
Assateague Island National Seashore,75.24524611,38.05593172,MD,VA
Atchafalaya National Heritage Area,91.5019378662109,30.2919769287109,LA
Augusta Canal National Heritage Area,82.0053787231445,33.5099067687988,GA
Aztec Ruins National Monument,107.9999245,36.83682216,NM
Badlands National Park,102.482942,43.68584846,SD
Baltimore National Heritage Area,76.6284027099609,39.2904968261719,MD
Baltimore-Washington Parkway,76.85410921,39.02604289,MD
Bandelier National Monument,106.3317124,35.77898596,NM
Belmont-Paul Women's Equality National Monument,77.00381882,38.89231541,DC
Bent's Old Fort National Historic Site,103.4266499,38.03977546,CO
Bering Land Bridge National Preserve,164.4086432,65.96087902,AK
Big Bend National Park,103.2297897,29.29817767,TX
Big Cypress National Preserve,81.08120629,25.97079602,FL
Big Hole National Battlefield,113.6458443,45.64647324,MT
Big South Fork National River & Recreation Area,84.66506688,36.5348388,KY,TN
Big Thicket National Preserve,94.3384557,30.42356654,TX
Bighorn Canyon National Recreation Area,108.1443943,45.13154227,MT,WY
Birmingham Civil Rights National Monument,86.8146667480469,33.5154266357422,AL
Biscayne National Park,80.21023851,25.490587,FL
Black Canyon Of The Gunnison National Park,107.7242756,38.57779869,CO
Blue Ridge National Heritage Area,80.8496627807617,37.1117477416992,NC
Blue Ridge Parkway,81.0420999,36.53386746,NC,VA
Bluestone National Scenic River,80.98366657,37.56577087,WV
Booker T Washington National Monument,79.73185833,37.11520539,VA
Boston African American National Historic Site,71.06764181,42.35908295,MA
Boston Harbor Islands National Recreation Area,70.93941138,42.30905526,MA
Boston National Historical Park,71.05536763,42.36957407,MA
Brices Cross Roads National Battlefield Site,88.72889343,34.50611958,MS
Brown v. Board of Education National Historic Site,95.67614437,39.03787665,KS
Bryce Canyon National Park,112.1826689,37.58399144,UT
Buck Island Reef National Monument,64.6222179,17.81026717,VI
Buffalo National River,92.90761584,36.04116481,AR
Cabrillo National Monument,117.2415985,32.6722503,CA
Canaveral National Seashore,80.75419576,28.78637529,FL
Cane River Creole National Historical Park,93.00131977,31.65408447,LA
Cane River National Heritage Area,92.9234390258789,31.5982227325439,LA
Canyon de Chelly National Monument,109.3388303,36.14319567,AZ
Canyonlands National Park,109.8801624,38.24555783,UT
